URL,License,Study,DOI,Date added
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/12689244.zarr,CC BY 4.0,idr0106,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/179706.zarr,CC BY 4.0,idr0002,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/1884807.zarr,CC BY 4.0,idr0021,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/1885619.zarr,CC BY 4.0,idr0023,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/4007801.zarr,CC BY 4.0,idr0044,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/4495402.zarr,CC BY-NC-SA 3.0,idr0053,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001237.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001238.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001239.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001240.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001241.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001242.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001243.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001244.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001245.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001246.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001247.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001248.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001249.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001250.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001251.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001252.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001253.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001254.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001255.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001256.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001257.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001258.zarr,CC BY 4.0,idr0062,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9822151.zarr,CC BY 4.0,idr0083,https://doi.org/10.5281/zenodo.5546093,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9822152.zarr,CC BY 4.0,idr0083,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836831.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836832.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836833.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836834.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836835.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836836.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836837.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836838.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836839.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836840.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836841.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836842.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836843.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836844.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836845.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836846.zarr,CC BY 4.0,idr0077,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/9836950.zarr,CC BY 4.0,idr0079,,2020-11-04
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/plates/1751.zarr,CC BY-NC-SA 3.0,idr0004,https://doi.org/10.5281/zenodo.5741293,2020-12-01
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/plates/2551.zarr,CC BY 4.0,idr0001,https://zenodo.org/record/5735098,2020-12-01
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/plates/422.zarr,CC BY 4.0,idr0002,,2020-12-01
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/plates/5966.zarr,CC BY 4.0,idr0033,https://zenodo.org/record/5742744,2020-12-01
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.1/plates/7825.zarr,CC0 1.0,idr0094,https://zenodo.org/record/5745520,2020-12-01
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.2/6001240.zarr,CC BY 4.0,idr0062,,2021-03-09
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.2/6001247.zarr,CC BY 4.0,idr0062,,2020-12-01
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.2/idr0070A/9838562.zarr,CC BY 4.0,idr0070,,2022-10-14
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/9836842.zarr,CC BY 4.0,idr0077,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0079A/9836998.zarr,CC BY 4.0,idr0079,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0052A/5514375.zarr,CC BY 4.0,idr0052,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0095B/11511419.zarr,CC BY 4.0,idr0095,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0095B/11511420.zarr,CC BY 4.0,idr0095,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0095B/11511421.zarr,CC BY 4.0,idr0095,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0095B/11511422.zarr,CC BY 4.0,idr0095,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0095B/11511423.zarr,CC BY 4.0,idr0095,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0095B/11511424.zarr,CC BY 4.0,idr0095,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0094A/7751.zarr,CC0 1.0,idr0094,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0109A/12922361.zarr,CC BY 4.0,idr0109,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0075A/9528933.zarr,CC BY 4.0,idr0075,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0051A/4007817.zarr,CC BY 4.0,idr0051,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.3/idr0040A/3491626.zarr,CC BY 4.0,idr0040,,2021-12-16
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0073A/9798462.zarr,CC BY 4.0,idr0073,,2022-05-05
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0072B/9512.zarr,CC BY 4.0,idr0072,,2022-05-10
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0083A/9822152.zarr,CC BY 4.0,idr0083,,2022-05-11
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0062A/6001247.zarr,CC BY 4.0,idr0062,,2022-05-11
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0044A/4007801.zarr,CC BY 4.0,idr0044,,2022-05-17
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0056B/7361.zarr,CC BY 4.0,idr0056,,2022-06-06
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0128E/9701.zarr,CC BY 4.0,idr0128,,2022-06-01
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0013A/3451.zarr,CC0 1.0,idr0013,,2022-06-03
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0054A/5025551.zarr,CC BY 4.0,idr0054,,2022-06-03
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0054A/5025552.zarr,CC BY 4.0,idr0054,,2022-06-03
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0054A/5025553.zarr,CC BY 4.0,idr0054,,2022-06-03
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0076A/10501752.zarr,CC BY 4.0,idr0076,,2022-06-21
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0047A/4496763.zarr,CC BY 4.0,idr0047,,2022-06-21
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0062A/6001240.zarr,CC BY 4.0,idr0062,,2022-06-21
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0052A/5514375.zarr,CC BY 4.0,idr0052,,2022-06-21
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0001A/2551.zarr,CC BY 4.0,idr0001,,2022-07-06
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0101A/13457227.zarr,CC BY 4.0,idr0101,,2022-10-13
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0101A/13457537.zarr,CC BY 4.0,idr0101,,2022-10-13
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0101A/13457539.zarr,CC BY 4.0,idr0101,,2022-10-13
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0048A/9846151.zarr/,CC BY 4.0,idr0048,,2023-01-12
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0048A/9846152.zarr/,CC BY 4.0,idr0048,,2023-01-12